Running: threads=1, list_size=1024, contains=100, add=0, remove=0
Running: threads=1, list_size=1024, contains=80, add=10, remove=10
Running: threads=1, list_size=1024, contains=20, add=40, remove=40
Running: threads=1, list_size=1024, contains=0, add=50, remove=50
Running: threads=1, list_size=8192, contains=100, add=0, remove=0
Running: threads=1, list_size=8192, contains=80, add=10, remove=10
Running: threads=1, list_size=8192, contains=20, add=40, remove=40
Running: threads=1, list_size=8192, contains=0, add=50, remove=50
Running: threads=2, list_size=1024, contains=100, add=0, remove=0
Running: threads=2, list_size=1024, contains=80, add=10, remove=10
Running: threads=2, list_size=1024, contains=20, add=40, remove=40
Running: threads=2, list_size=1024, contains=0, add=50, remove=50
Running: threads=2, list_size=8192, contains=100, add=0, remove=0
Running: threads=2, list_size=8192, contains=80, add=10, remove=10
Running: threads=2, list_size=8192, contains=20, add=40, remove=40
Running: threads=2, list_size=8192, contains=0, add=50, remove=50
Running: threads=4, list_size=1024, contains=100, add=0, remove=0
Running: threads=4, list_size=1024, contains=80, add=10, remove=10
Running: threads=4, list_size=1024, contains=20, add=40, remove=40
Running: threads=4, list_size=1024, contains=0, add=50, remove=50
Running: threads=4, list_size=8192, contains=100, add=0, remove=0
Running: threads=4, list_size=8192, contains=80, add=10, remove=10
Running: threads=4, list_size=8192, contains=20, add=40, remove=40
Running: threads=4, list_size=8192, contains=0, add=50, remove=50
Running: threads=8, list_size=1024, contains=100, add=0, remove=0
Running: threads=8, list_size=1024, contains=80, add=10, remove=10
Running: threads=8, list_size=1024, contains=20, add=40, remove=40
Running: threads=8, list_size=1024, contains=0, add=50, remove=50
Running: threads=8, list_size=8192, contains=100, add=0, remove=0
Running: threads=8, list_size=8192, contains=80, add=10, remove=10
Running: threads=8, list_size=8192, contains=20, add=40, remove=40
Running: threads=8, list_size=8192, contains=0, add=50, remove=50
Running: threads=16, list_size=1024, contains=100, add=0, remove=0
Running: threads=16, list_size=1024, contains=80, add=10, remove=10
Running: threads=16, list_size=1024, contains=20, add=40, remove=40
Running: threads=16, list_size=1024, contains=0, add=50, remove=50
Running: threads=16, list_size=8192, contains=100, add=0, remove=0
Running: threads=16, list_size=8192, contains=80, add=10, remove=10
Running: threads=16, list_size=8192, contains=20, add=40, remove=40
Running: threads=16, list_size=8192, contains=0, add=50, remove=50
Running: threads=32, list_size=1024, contains=100, add=0, remove=0
Running: threads=32, list_size=1024, contains=80, add=10, remove=10
Running: threads=32, list_size=1024, contains=20, add=40, remove=40
Running: threads=32, list_size=1024, contains=0, add=50, remove=50
Running: threads=32, list_size=8192, contains=100, add=0, remove=0
Running: threads=32, list_size=8192, contains=80, add=10, remove=10
Running: threads=32, list_size=8192, contains=20, add=40, remove=40
Running: threads=32, list_size=8192, contains=0, add=50, remove=50
Running: threads=64, list_size=1024, contains=100, add=0, remove=0
Running: threads=64, list_size=1024, contains=80, add=10, remove=10
Running: threads=64, list_size=1024, contains=20, add=40, remove=40
Running: threads=64, list_size=1024, contains=0, add=50, remove=50
Running: threads=64, list_size=8192, contains=100, add=0, remove=0
Running: threads=64, list_size=8192, contains=80, add=10, remove=10
Running: threads=64, list_size=8192, contains=20, add=40, remove=40
Running: threads=64, list_size=8192, contains=0, add=50, remove=50
Running: threads=128, list_size=1024, contains=100, add=0, remove=0
Running: threads=128, list_size=1024, contains=80, add=10, remove=10
Running: threads=128, list_size=1024, contains=20, add=40, remove=40
Running: threads=128, list_size=1024, contains=0, add=50, remove=50
Running: threads=128, list_size=8192, contains=100, add=0, remove=0
Running: threads=128, list_size=8192, contains=80, add=10, remove=10
Running: threads=128, list_size=8192, contains=20, add=40, remove=40
Running: threads=128, list_size=8192, contains=0, add=50, remove=50
